"""Heavy D-Ball Over""",Dumbbell/Kettlebell,For Time (30 Reps),"30 Dumbbell/D-Ball Over Shoulder (Heavy/Odd). Every 5 reps, perform 5 Burpees.",Heavy Dumbbell/D-Ball,"Posterior Chain, Hips, Core","Explosive Strength, Odd Object Power",Use a lighter dumbbell or object.
"""Skill: 50 T2B""",Gymnastics/Skill,For Time,"50 Toes-to-Bar. Every minute on the minute, perform 3 Ring Dips. (Starts with Dips at 0:00).","Pull-up Bar, Rings","Core, Upper Body Push","Gymnastic Stamina, Midline Fatigue",Scale T2B to Knees-to-Elbow; Ring Dips to box dips.
"""The Aerobic Chipper""",Grind/Endurance,For Time (30 min Cap),"100 Calorie Row, 75 Burpees, 50 Strict Press (65/45 lbs).","Rower, Barbell (65/45 lbs)","Full Body, Cardio, Shoulders","Aerobic Capacity, High Volume Pressing",Reduce Row to 75 Cals; reduce Burpees to 50.
"""Interval Stamina""",Monostructural/Cardio,4 Rounds For Time,"25 GHD Sit-ups, 500m Run, 25 Kettlebell Swings (24/16 kg).","GHD Machine (or AbMat), Running Space, KB","Core, Cardio, Hips","Speed Endurance, Core Fatigue",Scale GHD Sit-ups to AbMat Sit-ups.
"""Bike/Wall Ball Duet""",AMRAP/Interval,AMRAP in 22 Minutes,"15 Wall Balls (20/14 lbs), 15/12 Calorie Bike, 15 Box Jumps (20 in).","Wall Ball, Bike, Box","Legs, Shoulders, Cardio","Muscular Endurance, Consistency",Reduce Wall Ball weight and Bike calories.
"""5K Engine Test""",Monostructural/Cardio,For Time,"5000m Ski-Erg. Every 5 minutes, stop and perform 10 Strict Pull-ups.","Ski Erg, Pull-up Bar","Cardio, Back, Core","Sustained Aerobic Power, Pacing",Reduce distance to 4000m; scale Pull-ups to Ring Rows.
"""Power Endurance AMRAP""",AMRAP/Interval,AMRAP in 18 Minutes,"6 Hang Power Snatches (95/65 lbs), 12 Toes-to-Bar, 18 AbMat Sit-ups.","Barbell (95/65 lbs), Pull-up Bar","Hips, Core, Back","Power Endurance, Midline Stability",Reduce Snatch weight; T2B to Knees-to-Elbow.
"""High Rep Thruster II""",Grind/Endurance,For Time (3 Rounds),"50 Double Unders, 25 Thrusters (75/55 lbs).","Jump Rope, Barbell (75/55 lbs)","Legs, Shoulders, Cardio","Skill Under Fatigue, Lactic Tolerance",Scale DU to 3x Singles; reduce Thrusters to 15 reps.
"""Rowing EMOM Cycle""",EMOM/Pacing,EMOM for 24 Minutes,Odd: 250m Row (for pace). Even: 10 Burpees over Rower.,Rower,"Cardio, Hips, Full Body","Pacing Strategy, Aerobic Power",Reduce Row distance to 200m.
"""Bodyweight Endurance""",Bodyweight/Travel,For Time (5 Rounds),"50 Air Squats, 400m Run.",Running Space,"Legs, Cardio","High Volume Legs, Aerobic Stamina",Reduce Air Squats to 30 reps.
"""Dumbbell Engine Cycle""",Dumbbell/Kettlebell,For Time (4 Rounds),"20 Dumbbell Thrusters (35/25 lbs), 400m Run.",2 Dumbbells (35/25 lbs),"Full Body, Cardio","Muscular Endurance, Locomotor Skill",Reduce Thruster weight; substitute Thrusters for Goblet Squats.
"""Heavy Hold Penalty""",Grind/Endurance,For Time (5 Rounds),"15 Deadlifts (225/155 lbs). After each set, hold a Heavy Kettlebell/Dumbbell Farmer's Carry for 1 minute (static hold or walk).","Barbell (225/155 lbs), Heavy KB/DB","Posterior Chain, Grip, Core","Strength Endurance, Isometric Stamina",Reduce Deadlift weight to 185/135 lbs.
Name,Category,Format & Duration,Instructions,Equipment Needed,Muscle Groups,Training Goals,Suggested Scale
"""Hyrox Half""",Grind/Endurance,For Time,"500m Ski Erg, 25m Sled Push (Heavy), 400m Run, 500m Row, 50m Farmer's Carry (Heavy), 15 Wall Balls.","Ski Erg, Sled, KB/DBs, Wall Ball","Full Body, Stamina","Metabolic Transition, Pacing",Reduce sled distance/load; substitute 400m Run for 30 Cal Bike.
"""The Burpee Tax""",Monostructural/Cardio,5 Rounds For Time,"400m Run, 15 Burpee Broad Jumps (equivalent to 30m).",Running Space,"Legs, Cardio, Hips","Running Under Fatigue, Explosiveness",Reduce Burpee Broad Jumps to 10 reps.
"""Sled Double""",Grind/Endurance,For Time (3 Rounds),"50m Sled Push (Very Heavy), 50m Sled Pull (Very Heavy), 20 Sandbag Squats (Heavy).","Sled, Sandbag","Legs, Hips, Core","Maximal Strength Endurance, Grip",Reduce Sled load/distance; substitute Sandbag Squats for Goblet Squats.
"""Engine & Core""",Monostructural/Cardio,AMRAP in 25 Minutes,"400m Run, 20 Kettlebell Swings (24/16 kg), 20 GHD Sit-ups (or V-ups).","Running Space, KB, GHD (or Mat)","Cardio, Core, Hips","Aerobic Pacing, Midline Endurance",Reduce Run to 300m; substitute GHD Sit-ups with AbMat Sit-ups.
"""The Wall Ball Killer""",Grind/Endurance,For Time,"100 Wall Balls (20/14 lbs). Every minute on the minute, perform 10 Calorie Row. (Starts with Row at 0:00).","Wall Ball, Rower","Legs, Shoulders, Cardio","Lactic Tolerance, Consistency",Reduce Wall Ball total to 75; reduce Cals to 7.
"""Farmer's Run""",Grind/Endurance,For Time (3 Rounds),"200m Run, 100m Dual Kettlebell Farmer's Carry (Heavy), 20 Burpees.","Running Space, 2 Heavy KBs","Grip, Core, Cardio","Grip Stamina, Carry under Fatigue",Reduce Carry distance to 75m or use lighter KBs.
"""Hyrox Sprint EMOM""",EMOM/Pacing,EMOM for 16 Minutes,Min 1: 500m Row (Fast Pace). Min 2: 15 Burpees. Min 3: 400m Run (Fast Pace). Min 4: 15 Wall Balls.,"Rower, Running Space, Wall Ball","Full Body, Cardio","Anaerobic Power, Speed Endurance",Reduce Row/Run distance by 25%.
"""Sandbag Lunge Test""",Grind/Endurance,For Time,"100 Sandbag Lunges (Heavy, 20/14 kgs bag). Every time you break, perform 5 Burpees.",Sandbag (Heavy),"Legs, Core, Stamina","High Volume Leg Endurance, Mental Toughness",Reduce total lunges to 75; use a lighter sandbag.
"""The Cardio Mix""",Monostructural/Cardio,For Time (3 Rounds),"1000m Bike, 500m Row, 200m Run. Rest 90 seconds between rounds.","Bike, Rower, Running Space",Cardiovascular System,"Pacing Strategy, Machine Transition",Reduce distance on each machine/run by 25%.
"""The Ultimate Grind""",Grind/Endurance,For Time (35 min Cap),"1000m Ski, 80 Burpee Broad Jumps, 200m Farmer's Carry (Heavy), 100 Wall Balls.","Ski Erg, KB/DBs, Wall Ball","Full Body, Endurance","Maximal Work Capacity, Grit",Reduce reps on Wall Balls/Burpees by 25%.
"""Hyrox Half""",Grind/Endurance,For Time,"500m Ski Erg, 25m Sled Push (Heavy), 400m Run, 500m Row, 50m Farmer's Carry (Heavy), 15 Wall Balls.","Ski Erg, Sled, KB/DBs, Wall Ball","Full Body, Stamina","Metabolic Transition, Pacing",Reduce sled distance/load; substitute 400m Run for 30 Cal Bike.
"""The Burpee Tax""",Monostructural/Cardio,5 Rounds For Time,"400m Run, 15 Burpee Broad Jumps (equivalent to 30m).",Running Space,"Legs, Cardio, Hips","Running Under Fatigue, Explosiveness",Reduce Burpee Broad Jumps to 10 reps.
"""Sled Double""",Grind/Endurance,For Time (3 Rounds),"50m Sled Push (Very Heavy), 50m Sled Pull (Very Heavy), 20 Sandbag Squats (Heavy).","Sled, Sandbag","Legs, Hips, Core","Maximal Strength Endurance, Grip",Reduce Sled load/distance; substitute Sandbag Squats for Goblet Squats.
"""Engine & Core""",Monostructural/Cardio,AMRAP in 25 Minutes,"400m Run, 20 Kettlebell Swings (24/16 kg), 20 GHD Sit-ups (or V-ups).","Running Space, KB, GHD (or Mat)","Cardio, Core, Hips","Aerobic Pacing, Midline Endurance",Reduce Run to 300m; substitute GHD Sit-ups with AbMat Sit-ups.
"""The Wall Ball Killer""",Grind/Endurance,For Time,"100 Wall Balls (20/14 lbs). Every minute on the minute, perform 10 Calorie Row. (Starts with Row at 0:00).","Wall Ball, Rower","Legs, Shoulders, Cardio","Lactic Tolerance, Consistency",Reduce Wall Ball total to 75; reduce Cals to 7.
"""Farmer's Run""",Grind/Endurance,For Time (3 Rounds),"200m Run, 100m Dual Kettlebell Farmer's Carry (Heavy), 20 Burpees.","Running Space, 2 Heavy KBs","Grip, Core, Cardio","Grip Stamina, Carry under Fatigue",Reduce Carry distance to 75m or use lighter KBs.
"""Hyrox Sprint EMOM""",EMOM/Pacing,EMOM for 16 Minutes,Min 1: 500m Row (Fast Pace). Min 2: 15 Burpees. Min 3: 400m Run (Fast Pace). Min 4: 15 Wall Balls.,"Rower, Running Space, Wall Ball","Full Body, Cardio","Anaerobic Power, Speed Endurance",Reduce Row/Run distance by 25%.
"""Sandbag Lunge Test""",Grind/Endurance,For Time,"100 Sandbag Lunges (Heavy, 20/14 kgs bag). Every time you break, perform 5 Burpees.",Sandbag (Heavy),"Legs, Core, Stamina","High Volume Leg Endurance, Mental Toughness",Reduce total lunges to 75; use a lighter sandbag.
"""The Cardio Mix""",Monostructural/Cardio,For Time (3 Rounds),"1000m Bike, 500m Row, 200m Run. Rest 90 seconds between rounds.","Bike, Rower, Running Space",Cardiovascular System,"Pacing Strategy, Machine Transition",Reduce distance on each machine/run by 25%.
"""The Ultimate Grind""",Grind/Endurance,For Time (35 min Cap),"1000m Ski, 80 Burpee Broad Jumps, 200m Farmer's Carry (Heavy), 100 Wall Balls.","Ski Erg, KB/DBs, Wall Ball","Full Body, Endurance","Maximal Work Capacity, Grit",Reduce reps on Wall Balls/Burpees by 25%.
"""Sprint 500/500""",Monostructural/Cardio,4 Rounds For Time,"500m Ski (Max Effort), 500m Row (Max Effort). Rest 2 minutes between rounds.","Rower, Ski Erg",Cardiovascular System,"Anaerobic Power, Speed Endurance",Reduce distance to 400m; increase rest to 3 minutes.
"""The Short Rest""",Monostructural/Cardio,10 Rounds For Time,"250m Row, 250m Ski. Rest 30 seconds after each 500m set.","Rower, Ski Erg",Cardiovascular System,"Lactate Tolerance, Sustained Pace",Reduce rest to 20 seconds.
"""Ski-Row 100/100""",Monostructural/Cardio,15 Rounds For Time,"100m Ski, 100m Row. No rest. Move quickly between machines.","Rower, Ski Erg",Cardiovascular System,"High-Rate Turnover, Transition Speed",Reduce rounds to 10.
"""Max Calorie 60s""",Monostructural/Cardio,For Time (3 Rounds),60 seconds Max Calorie Ski. Rest 60 seconds. 60 seconds Max Calorie Row. Rest 60 seconds.,"Rower, Ski Erg",Cardiovascular System,"Peak Power Output, High-Intensity Bursts",Complete 4 rounds instead of 3.
"""The Power 300""",Monostructural/Cardio,6 Rounds For Time,"300m Row (Max Effort), 15 Burpees. Rest 1:1 (rest duration equals your Row time).",Rower,"Cardiovascular System, Hips","Explosive Power, Recovery Speed",Reduce Row to 250m.
"""Ski Sprint Complex""",Monostructural/Cardio,"10 Rounds, EMOM",200m Ski. Rest the remainder of the minute.,Ski Erg,Cardiovascular System,"Consistent Pace, Anaerobic Power",Reduce rounds to 8.
"""Rowing Ladder Up""",Monostructural/Cardio,For Time,"100m Row, 200m Row, 300m Row, 400m Row, 500m Row. Rest 45 seconds between distances.",Rower,Cardiovascular System,"Speed Endurance, Pacing Progression",Reduce rest to 30 seconds.
"""The Double 400""",Monostructural/Cardio,5 Rounds For Time,"400m Ski, 10 Push-ups. Rest 90 seconds. 400m Row, 10 Air Squats. Rest 90 seconds.","Rower, Ski Erg","Cardiovascular System, Core","Speed Consistency, Active Recovery",Reduce distance to 300m.
"""Calorie Burn 4x""",Monostructural/Cardio,For Time,4 sets of 15/12 Calorie Ski. Rest 30 seconds. 4 sets of 15/12 Calorie Row. Rest 30 seconds.,"Rower, Ski Erg",Cardiovascular System,"Anaerobic Power, Machine Efficiency",Reduce calories to 12/9.
"""The 200/20""",Monostructural/Cardio,8 Rounds For Time,"200m Row, 20 Air Squats.",Rower,"Cardiovascular System, Legs","Fast Turnover, Leg Flush",Reduce Air Squats to 15.
"""5K Ski Test""",Monostructural/Cardio,For Time,5000m Ski Erg.,Ski Erg,Cardiovascular System,"Aerobic Capacity, Sustained Power",Reduce distance to 4000m.
"""4K Row Challenge""",Monostructural/Cardio,For Time,"4000m Row. Every 1000m, perform 1 minute Plank Hold.",Rower,"Cardiovascular System, Core","Aerobic Stamina, Midline Stability",Reduce distance to 3000m.
"""Mixed 6K""",Monostructural/Cardio,For Time,"3000m Ski Erg, 3000m Row.","Rower, Ski Erg",Cardiovascular System,"Pacing, Equipment Transition",Reduce total distance to 5000m.
"""Long EMOM Row""",EMOM/Pacing,EMOM for 20 Minutes,250m Row.,Rower,Cardiovascular System,"Consistent Pacing, Aerobic Endurance",Reduce distance to 200m.
"""The 15 Minute Pace""",Monostructural/Cardio,For Distance,"AMRAP in 15 Minutes: 500m Ski, 500m Row.","Rower, Ski Erg",Cardiovascular System,"Maintaining Pace, Work Capacity",Complete 4 rounds for time instead of AMRAP.
"""Calorie Marathon""",Monostructural/Cardio,For Time,"100/75 Calorie Ski, 100/75 Calorie Row.","Rower, Ski Erg",Cardiovascular System,"High Volume Calorie Burn, Mental Grit",Reduce calories to 75/50.
"""The Ski-Row 100/50""",Monostructural/Cardio,For Time (3 Rounds),"1000m Row, 50 Burpees. Rest 2 minutes. 1000m Ski, 50 Air Squats. Rest 2 minutes.","Rower, Ski Erg","Cardiovascular System, Hips","Stamina Under Interruption, Pacing",Reduce distance to 750m and reps to 30.
"""Steady State 45""",Monostructural/Cardio,For Distance,"EMOM for 45 Minutes: 100m Ski, 100m Row.","Rower, Ski Erg",Cardiovascular System,"Sustained Effort, Discipline",Reduce time to 30 minutes.
"""Alternating Cals""",EMOM/Pacing,EMOM for 14 Minutes,Odd: 15/12 Calorie Ski. Even: 15/12 Calorie Row.,"Rower, Ski Erg",Cardiovascular System,"Consistent Power Output, Pacing",Reduce calories to 12/9.
"""The Burpee Buffer""",EMOM/Pacing,EMOM for 18 Minutes,Min 1: 15 Burpees. Min 2: 200m Row. Min 3: 200m Ski.,"Rower, Ski Erg","Full Body, Cardio","Pacing, Muscular Endurance",Reduce Burpees to 12 reps.
"""Ski-Row AMRAP 10""",Monostructural/Cardio,AMRAP in 10 Minutes,"100m Ski, 100m Row, 5 Burpees.","Rower, Ski Erg","Cardiovascular System, Hips","High Rate Turnover, Speed Endurance",Reduce the AMRAP time to 7 minutes.
"""High Rep Push-up""",EMOM/Pacing,EMOM for 16 Minutes,Odd: 15/12 Calorie Row. Even: 20 Push-ups.,Rower,"Full Body, Cardio","Muscular Endurance, Consistency",Reduce Push-ups to 15 reps.
"""20/20 Pacing""",Monostructural/Cardio,AMRAP in 20 Minutes,"200m Row, 20 Air Squats, 200m Ski, 20 AbMat Sit-ups.","Rower, Ski Erg","Full Body, Core","Aerobic Pacing, Stamina",Reduce distance to 150m.
"""Calorie Sprint EMOM""",EMOM/Pacing,EMOM for 12 Minutes,Odd: Max Calorie Ski in 45 seconds. Even: Max Calorie Row in 45 seconds.,"Rower, Ski Erg",Cardiovascular System,"Peak Power Output, Recovery",Reduce work time to 30 seconds.
"""The Gymnastic Tax""",EMOM/Pacing,EMOM for 15 Minutes,Min 1: 250m Row. Min 2: 10 Toes-to-Bar. Min 3: 15 Push-ups.,"Rower, Pull-up Bar","Full Body, Core, Cardio","Gymnastic Stamina, Machine Pacing",Scale T2B to Knee Raises.
"""Long Interval AMRAP""",Monostructural/Cardio,AMRAP in 30 Minutes,"500m Row, 500m Ski. Rest 1 minute after each set of 1000m.","Rower, Ski Erg",Cardiovascular System,"Sustained Pacing, Aerobic Capacity",Reduce AMRAP time to 25 minutes.
"""Row/Air Squat EMOM""",EMOM/Pacing,EMOM for 15 Minutes,Min 1: 300m Row. Min 2: 30 Air Squats.,Rower,"Legs, Cardio","Muscular Endurance, Pacing",Reduce Row to 250m.
"""Ski/Double Under AMRAP""",AMRAP/Interval,AMRAP in 15 Minutes,"150 Double Unders, 10/7 Calorie Ski.","Ski Erg, Jump Rope","Coordination, Cardio","Skill Under Fatigue, Consistency",Scale DU to 1:1 Single Unders.
"""Triple Threat Cardio""",Monostructural/Cardio,For Time (3 Rounds),"500m Row, 500m Ski, 15/12 Calorie Bike.","Rower, Ski Erg, Bike",Cardiovascular System,"Pacing, Machine Transition",Reduce distance to 400m on row/ski.
"""Row/Ski/Thruster""",Grind/Endurance,For Time (3 Rounds),"500m Row, 20 Thrusters (75/55 lbs), 500m Ski.","Rower, Ski Erg, Barbell","Full Body, Hips, Cardio","Power Endurance, Lactate Tolerance",Reduce Thruster reps to 15.
"""The Wall Ball Hybrid""",Grind/Endurance,5 Rounds For Time,"25 Wall Balls (20/14 lbs), 250m Row, 25 AbMat Sit-ups.","Rower, Wall Ball","Legs, Core, Cardio","High Volume Legs/Core, Pacing",Reduce Wall Ball reps to 20.
"""The Heavy Row""",Grind/Endurance,4 Rounds For Time,"10 Deadlifts (225/155 lbs), 500m Row, 10 Box Jumps.","Rower, Barbell, Box","Posterior Chain, Cardio","Strength Stamina, Explosiveness",Reduce Deadlift weight to 185/135 lbs.
"""Bike/Ski/Burpee""",Monostructural/Cardio,For Time (5 Rounds),"20/15 Calorie Bike, 20/15 Calorie Ski, 10 Burpees.","Bike, Ski Erg","Full Body, Cardio","Muscular Endurance, Lactic Flush",Reduce all calorie targets.
"""Running Ski Repeater""",Monostructural/Cardio,For Time (4 Rounds),"800m Run, 500m Ski.","Running Space, Ski Erg",Cardiovascular System,"Aerobic Stamina, Long Transition",Reduce Run to 600m.
"""The Single Arm Tax""",Grind/Endurance,3 Rounds For Time,"500m Ski, 20 Single-Arm Dumbbell Snatches (50/35 lbs, 10 per arm), 500m Row.","Ski Erg, Rower, DB","Hips, Core, Power","Unilateral Power, Pacing",Reduce Snatch weight to 35/25 lbs.
"""Row/Squat Clean""",Grind/Endurance,5 Rounds For Time,"10 Squat Cleans (135/95 lbs), 300m Row.","Barbell, Rower","Hips, Power, Cardio",Barbell Cycling Under Fatigue,Reduce Clean reps to 7.
"""The Triplet Chipper""",Grind/Endurance,For Time,"100 Air Squats, 750m Row, 50 Push-ups, 750m Ski.","Rower, Ski Erg","Full Body, Cardio","Volume Tolerance, Consistency",Reduce push-ups to 30.
"""Heavy Hold Penalty II""",Grind/Endurance,5 Rounds For Time,"500m Row. After each Row, perform 1 minute of Dual Kettlebell Front Rack Hold (Heavy).","Rower, 2 Heavy KBs","Core, Grip, Cardio","Isometric Strength, Midline Control",Reduce Row distance to 400m.
"""Ski/Row/Pull""",Grind/Endurance,4 Rounds For Time,"500m Ski, 15 Pull-ups, 500m Row.","Ski Erg, Pull-up Bar, Rower","Back, Cardio","Gymnastic Stamina, Pacing",Scale Pull-ups to Ring Rows.
"""Calorie Pyramid""",Monostructural/Cardio,For Time,"10/7 Cal Ski, 20/15 Cal Row, 30/21 Cal Ski, 20/15 Cal Row, 10/7 Cal Ski.","Ski Erg, Rower",Cardiovascular System,"Pacing Progression, Speed Endurance",Reduce all calories by 2-3 reps.
"""High Rep Thruster III""",Grind/Endurance,For Time (3 Rounds),"25 Thrusters (75/55 lbs), 250m Row, 250m Ski.","Barbell (75/55 lbs), Rower, Ski Erg","Legs, Shoulders, Cardio","Lactic Tolerance, Full Body Flush",Reduce Thruster reps to 15.
"""Running Row Triplet""",Monostructural/Cardio,For Time (3 Rounds),"500m Row, 400m Run, 500m Row.","Rower, Running Space",Cardiovascular System,"Aerobic Stamina, Transition",Reduce Row to 400m.
"""Max Distance 15""",Monostructural/Cardio,For Distance,"AMRAP in 15 Minutes: 100m Ski, 100m Row, 10 Burpees.","Ski Erg, Rower","Full Body, Cardio","Sustained Pacing, Work Capacity",Complete 4 rounds for time instead of AMRAP.
"""The Synchronized""",Grind/Endurance (Team),For Time (3 Rounds),"20 Synchronized Burpees (must hit the ground/jump together), 30 Synchronized Air Squats, 40 Wall Balls (Split Reps).",Wall Ball,"Full Body, Coordination","Teamwork, Muscular Endurance",Scale Burpees to step-ups; reduce Wall Ball reps to 30.
"""You Go, I Go Clean""",AMRAP/Interval (Team),AMRAP in 16 Minutes,"Partner 1: 5 Clean & Jerks (135/95 lbs). Partner 2: Holds plank. P1 finishes, P2 immediately starts 5 C&Js. Score is total C&Js.",Barbell (135/95 lbs),"Hips, Shoulders, Core","Barbell Cycling, Active Rest",Reduce weight to 115/75 lbs; substitute plank hold for static hang.
"""Pacer Tax""",Grind/Endurance (Team),For Time (5 Rounds),"Partner 1 runs 400m. While P1 runs, P2 completes max rounds of: 10 Push-ups, 15 Sit-ups. Switch roles. Score is time to complete all 5 runs + total work.",Running Space,"Full Body, Cardio","Aerobic Stamina, Pacing",Reduce run to 300m; reduce Push-ups to 8.
"""The Farmer's Trade""",Grind/Endurance (Team),For Time (20 Rounds),"100 ft Dual Kettlebell Farmer's Carry (Heavy, Partners hold same KBs), 5 Box Jumps (P1 works, P2 rests). Total 100 Box Jumps.","2 Heavy KBs, Box","Grip, Core, Legs","Grip Stamina, Strength Endurance",Use lighter KBs; reduce total rounds to 15.
"""Buy-in/Cash-out Row""",Grind/Endurance (Team),For Time,"Buy-in: 1000m Row (Split). WOD: 100 Pull-ups, 100 Thrusters (65/45 lbs), 100 Burpees (All Split). Cash-out: 1000m Row (Split).","Rower, Barbell, Pull-up Bar","Full Body, Cardio","High Volume Tolerance, Pacing",Reduce Buy-in/Cash-out to 750m; reduce all body movements to 75 reps.
"""Alternating Gymnastic""",Gymnastics/Skill (Team),For Time (21-15-9 Reps),"Alternating Sets: P1 does 7 Ring Dips, P2 does 7 Ring Dips. P1 does 7 Pull-ups, P2 does 7 Pull-ups.","Rings, Pull-up Bar",Upper Body Push/Pull,"Gymnastic Stamina, Efficiency",Scale Ring Dips to Box Dips; Pull-ups to Banded Pull-ups.
"""Max Rep Hold""",AMRAP/Interval (Team),AMRAP in 15 Minutes,P1 holds Kettlebell Front Rack (Heavy). P2 completes Max Reps of Wall Balls (20/14 lbs). Switch when P1 breaks hold. Score is total Wall Balls.,"2 Heavy KBs, Wall Ball","Legs, Shoulders, Core","Isometric Strength, Lactic Tolerance",Reduce hold to a Plank; reduce Wall Ball weight.
"""Run/Ski Split""",Monostructural/Cardio (Team),For Time (4 Rounds),P1 runs 800m. P2 completes max distance on Ski Erg. Switch. Total Ski meters is the score tie-breaker. Time is final score.,"Running Space, Ski Erg",Cardiovascular System,"Aerobic Pacing, Work Capacity",Reduce run to 600m; reduce rounds to 3.
"""Devil's Press Partner""",Dumbbell/Kettlebell (Team),For Time (10-8-6-4-2 Reps),Total Reps per round of Dual Dumbbell Devil's Press (50/35 lbs) (Split Reps). 25 Double Unders (Synchronized) after each round.,"2 DBs, Jump Rope","Full Body, Coordination","Explosive Power, High Intensity",Scale Devil's Press weight; substitute DU for 50 Single Unders.
"""Split Endurance""",Monostructural/Cardio (Team),For Time,"200/150 Calorie Bike (Split, work simultaneously). Every 40 Cals (total), both partners perform 10 Burpees.",Bike,"Cardiovascular System, Hips","Aerobic Stamina, Pacing",Reduce total Calorie target to 150/120.
"""The Weighted Carry""",Grind/Endurance (Team),4 Rounds For Time,"400m Run (Together). 50 ft Heavy Sandbag Carry (P1 carries, P2 does Plank Hold). Switch halfway. 15 Burpees (Split Reps).","Sandbag, Running Space","Full Body, Core, Hips","Functional Strength, Core Stability",Substitute Sandbag for a Heavy Plate.
"""Deadlift Team Ladder""",Barbell/Weightlifting (Team),For Time (21-15-9 Reps),"Deadlifts (315/225 lbs) (Split Reps). Bar cannot be dropped until the 21, 15, or 9 reps are complete. After each set, both partners perform 15 C2B Pull-ups (Split Reps).","Barbell (315/225 lbs), Pull-up Bar","Posterior Chain, Back","Absolute Strength, Strength Stamina",Reduce weight to 275/185 lbs; C2B to Pull-ups.
"""Air Squat Penalty""",AMRAP/Interval (Team),AMRAP in 20 Minutes,"10 Ring Rows (Split Reps). P2 holds bottom of Air Squat. If P2 stands up, P1 must stop work. P1/P2 switch at end of Ring Row set.",Rings/Bar,"Back, Legs, Core","Muscular Endurance, Mental Toughness",Use Banded Rows; use a bench to scale the Air Squat hold depth.
"""Wall Climb & Row""",Gymnastics/Skill (Team),For Time (4 Rounds),"5 Wall Walks (P1 works, P2 rests). 250m Row (YGIY). 20 Wall Balls (Split Reps).","Wall, Rower, Wall Ball","Shoulders, Cardio","Skill Under Fatigue, Transition",Scale Wall Walks to 2 Wall Climbs (less demanding); reduce Row to 200m.
"""Chipper Split""",Grind/Endurance (Team),For Time,"200 Double Unders, 100 GHD Sit-ups, 50 Burpees (All Split Reps).","Jump Rope, GHD (or Mat)","Full Body, Core, Cardio","High Volume, Consistency",Scale DU to 3:1 Singles; GHD Sit-ups to AbMat Sit-ups.
"""The Pacing Run""",Monostructural/Cardio (Team),For Time (5 Rounds),P1 runs 800m. P2 rows max meters. Switch. Score is total time + total meters rowed.,"Rower, Running Space",Cardiovascular System,"Aerobic Pacing, Work Capacity",Reduce run to 600m or row to 500m.
"""Synchro Thruster""",Barbell/Weightlifting (Team),AMRAP in 18 Minutes,"10 Synchronized Thrusters (95/65 lbs), 20 Toes-to-Bar (Split Reps).","Barbell (95/65 lbs), Pull-up Bar","Full Body, Hips, Core","Synchronization, Pacing",Reduce weight to 75/55 lbs; scale T2B to Knees-to-Elbow.
"""Wall Ball Hold""",AMRAP/Interval (Team),AMRAP in 15 Minutes,"P1 holds the bottom of a Wall Ball Squat. P2 completes max rounds of: 10 Push-ups, 10 Sit-ups. Switch when P1 breaks hold. Score is total rounds.",Wall Ball,"Legs, Core, Chest","Isometric Endurance, Muscular Endurance",Substitute the Wall Ball hold for a Goblet Squat hold.
"""Partner Chipper III""",Grind/Endurance (Team),For Time (All Split Reps),"150 Wall Balls, 100 Calorie Row, 50 Burpees Over Rower.","Wall Ball, Rower","Full Body, Cardio","High Volume Tolerance, Team Pacing","Reduce reps/cals by 25% (e.g., 120/80/40)."
"""I Go, You Go Lifts""",Barbell/Weightlifting (Team),For Time (5 Rounds),"10 Hang Power Cleans (135/95 lbs) (YGIY), 10 Handstand Push-ups (Split Reps).","Barbell, Wall","Hips, Shoulders, Core","Barbell Cycling Speed, Skill Under Fatigue",Reduce Clean weight to 115/75 lbs; scale HSPU to Pike Push-ups.
"""Dual Carry & Tax""",Dumbbell/Kettlebell (Team),4 Rounds For Time,"100m Run (Together). P1 does 50 ft Dual DB Overhead Carry, P2 does 50 ft Dual DB Farmer's Carry. Switch. 10 Synchro Burpees.",4 DBs,"Full Body, Core, Grip","Functional Strength, Synchronization",Use lighter DBs; reduce run to 200m.
"""Team Engine Repeater""",Monostructural/Cardio (Team),5 Rounds For Time,"20/15 Calorie Ski (Split Reps), 100 Double Unders (Split Reps), 10 Deadlifts (225/155 lbs) (Split Reps).","Ski Erg, Jump Rope, Barbell","Full Body, Cardio","Aerobic Stamina, Pacing Strategy",Reduce Deadlift weight to 185/125 lbs; scale DU to 2:1 Singles.
"""Team 'DT'""",Barbell/Weightlifting (Team),5 Rounds For Time,"12 Deadlifts, 9 Hang Power Cleans, 6 Push Jerks (All Split Reps, 155/105 lbs).",Barbell (155/105 lbs),"Hips, Shoulders, Back","Barbell Endurance, Strength Cycling",Reduce weight to 135/95 lbs.
"""Assault Bike Pacer""",AMRAP/Interval (Team),AMRAP in 16 Minutes,P1 bikes 15/12 Cals (Max Effort). P2 completes Max Reps of Dumbbell Thrusters (35/25 lbs). Switch. Score is total Thruster reps.,"Bike, 2 DBs","Legs, Shoulders, Cardio","Peak Power Output, Lactic Tolerance",Reduce Bike Cals to 10/8.
"""Strict Pull-up Hold""",Gymnastics/Skill (Team),EMOM for 15 Minutes,Odd: P1 performs Max Strict Pull-ups. P2 holds bottom of Air Squat. Switch. Even: P1 performs Max Strict Push-ups. P2 holds Chin-Over-Bar. Switch.,Pull-up Bar,"Upper Body, Core","Isometric Strength, Gymnastic Endurance",Scale Pull-ups to Ring Rows; scale Push-ups to Box Push-ups.
