Name,Category,Format & Duration,Instructions,Equipment Needed,Muscle Groups,Training Goals,Unnamed: 7,Unnamed: 8,Time Domain,Scaling Options,Movement Types,Workout Complexity,Target Stimulus,RX Standards,Score Type,Level,Environment,Equipment Alternatives,Energy System,Coach Notes,Movement Count,Primary Category,Difficulty Score,Movement Patterns,Stimulus,Structure Type,Description,Movement-Level-Metadata,Difficulty-Score-Computed,Difficulty-Label,Estimated-Times,Estimated-Times-Human,Warmup,Coaching-Cues,Scaling-Tiers,Demo-Search-Queries,Training-Adaptation-Tags,Equipment-Footprint,Flavor-Text
Deadly Dozen - Deadly Strong,Benchmark (Race),Strength,For Time (All 12 Labours),"Complete all 12 Labours in order for time, with no running or cardio in between. Total Volume: 480m of Carries/Crawls, 300 Reps. The 12 Labours are: 1) 240m Farmers Carry (2×24kg KB). 2) 60 Reps KB Deadlift (32kg KB). 3) 60m DB Lunge (2×12.5kg DB). 4) 60 Reps Alt. DB Snatch (15kg DB). 5) 60m Burpee Broad Jump (BW). 6) 60 Reps KB Goblet Squat (16kg KB). 7) 240m Plate Front Carry (25kg Plate). 8) 60 Reps DB Push Press (2×12.5kg DB). 9) 120m Bear Crawl (BW). 10) 60 Reps Plate Clean & Press (15kg Plate). 11) 180m Plate Overhead Carry (15kg Plate). 12) 20 Reps DB Devil Press (2×10kg DB).","KB, DB, Plate","Full Body, Strength, Grip","Muscular Endurance, Lactic Tolerance","Split the total volume into a 3-round circuit (e.g., 1/3 of the reps/distance per round).",Mixed,"Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).",General,Simple,,Bodyweight or unspecified,Other,Intermediate,Gym,Substitute with available equipment.,Mixed,,1,Mixed,2,General,General Conditioning (Mixed Stimulus),Standard,,"[{""movement"": ""For Time (All 12 Labours)"", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Complete all 12 Labours in order for time, with no running or cardio in between. Total Volume: 480m of Carries/Crawls, 300 Reps. The 12 Labours are: 1) 240m Farmers Carry (2×24kg KB). 2) 60 Reps KB Deadlift (32kg KB). 3) 60m DB Lunge (2×12.5kg DB). 4) 60 Reps Alt. DB Snatch (15kg DB). 5) 60m Burpee Broad Jump (BW). 6) 60 Reps KB Goblet Squat (16kg KB). 7) 240m Plate Front Carry (25kg Plate). 8) 60 Reps DB Push Press (2×12.5kg DB). 9) 120m Bear Crawl (BW). 10) 60 Reps Plate Clean & Press (15kg Plate). 11) 180m Plate Overhead Carry (15kg Plate). 12) 20 Reps DB Devil Press (2×10kg DB)."", ""skill_level"": ""Intermediate""}]",2,Easy,{},,5-10 min general cardio (row/jog/bike),Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint.,"{""Beginner"": ""For Time (All 6 Labours) - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""For Time (All 12 Labours) - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""For Time (All 12 Labours) - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""For Time (All 12 Labours) - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Deadly Dozen - Deadly Strong workout demo For Time (All 12 Labours)"", ""CF Library Search"": ""Deadly Dozen - Deadly Strong workout demo For Time (All 12 Labours) CrossFit movement demo""}",General Conditioning,Minimal,Deadly Dozen - Deadly Strong - Expect sharp efforts and quick transitions; small mistakes add up.
Deadly Dozen - DFT Run,Benchmark (Race),M-S,For Time (6 Rounds),"6 Rounds: 400m Run, followed by one of the 6 Rep Labours in order. The 6 Labours are: 1) 60 Reps KB Deadlift (32kg KB). 2) 60 Reps Alt. DB Snatch (15kg DB). 3) 60 Reps KB Goblet Squat (16kg KB). 4) 60 Reps DB Push Press (2×12.5kg DB). 5) 60 Reps Plate Clean & Press (15kg Plate). 6) 20 Reps DB Devil Press (2×10kg DB).","KB, DB, Plate, Running Space","Hips, Shoulders, Core, Cardio","High-Volume Reps, Pacing",Scale the run to 300m; reduce all 60 Rep Labours to 40 reps.,Mixed,"Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).",General,Simple,,Bodyweight or unspecified,Other,Intermediate,Gym,Substitute with available equipment.,Mixed,,1,Mixed,2,General,General Conditioning (Mixed Stimulus),Standard,,"[{""movement"": ""For Time (6 Rounds)"", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""6 Rounds: 400m Run, followed by one of the 6 Rep Labours in order. The 6 Labours are: 1) 60 Reps KB Deadlift (32kg KB). 2) 60 Reps Alt. DB Snatch (15kg DB). 3) 60 Reps KB Goblet Squat (16kg KB). 4) 60 Reps DB Push Press (2×12.5kg DB). 5) 60 Reps Plate Clean & Press (15kg Plate). 6) 20 Reps DB Devil Press (2×10kg DB)."", ""skill_level"": ""Intermediate""}]",2,Easy,{},,5-10 min general cardio (row/jog/bike),Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint.,"{""Beginner"": ""For Time (3 Rounds) - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""For Time (6 Rounds) - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""For Time (6 Rounds) - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""For Time (6 Rounds) - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Deadly Dozen - DFT Run workout demo For Time (6 Rounds)"", ""CF Library Search"": ""Deadly Dozen - DFT Run workout demo For Time (6 Rounds) CrossFit movement demo""}",General Conditioning,Minimal,Deadly Dozen - DFT Run - A general conditioning (mixed stimulus) challenge that demands focus and grit.
Deadly Dozen - DFT Team,Benchmark (Race) (Team),M-S,For Time (6 Rounds),"Team of 2. Both partners complete the ""Journey"" (400m Run, Row, or Ski) together, then split the reps of the Labour. The 6 Labours are: 1) 60 Reps KB Deadlift (32kg KB). 2) 60 Reps Alt. DB Snatch (15kg DB). 3) 60 Reps KB Goblet Squat (16kg KB). 4) 60 Reps DB Push Press (2×12.5kg DB). 5) 60 Reps Plate Clean & Press (15kg Plate). 6) 20 Reps DB Devil Press (2×10kg DB).","KB, DB, Plate, Rower/Run/Ski/Bike","Full Body, Teamwork, Pacing","Rep Efficiency, Consistent Pacing",Substitute the 400m run with a 400m Row (Split); reduce all 60 Rep Labours to 40 reps.,Mixed,"Reduce reps, lighten load, or modify gymnastics (e.g., banded pull-ups, lighter KB, shortened run distances).",General,Simple,,Bodyweight or unspecified,Other,Intermediate,Gym,Substitute with available equipment.,Mixed,,1,Mixed,2,General,General Conditioning (Mixed Stimulus),Standard,,"[{""movement"": ""For Time (6 Rounds)"", ""reps"": """", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Team of 2. Both partners complete the \""Journey\"" (400m Run, Row, or Ski) together, then split the reps of the Labour. The 6 Labours are: 1) 60 Reps KB Deadlift (32kg KB). 2) 60 Reps Alt. DB Snatch (15kg DB). 3) 60 Reps KB Goblet Squat (16kg KB). 4) 60 Reps DB Push Press (2×12.5kg DB). 5) 60 Reps Plate Clean & Press (15kg Plate). 6) 20 Reps DB Devil Press (2×10kg DB)."", ""skill_level"": ""Intermediate""}]",2,Easy,{},,5-10 min general cardio (row/jog/bike),Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint.,"{""Beginner"": ""For Time (3 Rounds) - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""For Time (6 Rounds) - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""For Time (6 Rounds) - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""For Time (6 Rounds) - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Deadly Dozen - DFT Team workout demo For Time (6 Rounds)"", ""CF Library Search"": ""Deadly Dozen - DFT Team workout demo For Time (6 Rounds) CrossFit movement demo""}",General Conditioning,Minimal,Deadly Dozen - DFT Team - Brutal but fair; pace wisely and prioritize technique.
Reactor-0,Custom,5 Rounds For Time,"30 Pull-ups, 34 Handstand Push-ups, 12 Wall Balls","Barbell, Kettlebell, Rower, Pull-up Bar",Full Body,"Conditioning, Stamina",,,Medium,,"Gymnastics, Weightlifting",Moderate,,Bodyweight or unspecified,Time,,,,Mixed,,3,Weightlifting,4,"Pull, Push, Squat",For Time - High Intensity Pacing,Standard,,"[{""movement"": ""Pull-Up"", ""reps"": ""30"", ""type"": ""Gymnastics"", ""pattern"": ""Pull"", ""equipment"": ""Pull-up Bar"", ""skill_level"": ""Intermediate""}, {""movement"": ""Handstand Push-Up"", ""reps"": ""34"", ""type"": ""Gymnastics"", ""pattern"": ""Push"", ""equipment"": ""None (bodyweight)"", ""skill_level"": ""Intermediate""}, {""movement"": ""Wall Ball"", ""reps"": ""12"", ""type"": ""Weightlifting"", ""pattern"": ""Squat"", ""equipment"": ""Wall Ball"", ""skill_level"": ""Intermediate""}]",5,Moderate,"{""RX"": 300, ""Intermediate"": 420, ""Beginner"": 600}",5m 0s,"5-10 min general cardio (row/jog/bike); Air squats and goblet squats progression, ankle mobility; Shoulder activation: band pull-aparts, push-up progressions; Scapular pull-ups, ring rows or banded pull-ups",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint. Use kip efficiently; consider banded pull-ups to keep turnover high. Set a rhythm and target the top of the wall mark consistently.,"{""Beginner"": ""15 Pull-ups, 17 Handstand Push-ups, 6 Wall Balls - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""30 Pull-ups, 34 Handstand Push-ups, 12 Wall Balls - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""30 Pull-ups, 34 Handstand Push-ups, 12 Wall Balls - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""30 Pull-ups, 34 Handstand Push-ups, 12 Wall Balls - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Reactor-0 workout demo 30 Pull-ups"", ""CF Library Search"": ""Reactor-0 workout demo 30 Pull-ups CrossFit movement demo""}","Gymnastics Skill, Lactate Threshold / Conditioning",Full Gym,Reactor-0 - A for time - high intensity pacing challenge that demands focus and grit.
Inferno-1,Custom,EMOM 10,"44 Box Jumps, 18 Deadlifts","Barbell, Kettlebell, Rower, Pull-up Bar",Full Body,"Conditioning, Stamina",,,Mixed,,"Gymnastics, Weightlifting",Simple,,Bodyweight or unspecified,Rounds/Load,,,,Mixed,,2,Weightlifting,3,Hinge,Interval Power / Strength-Endurance,EMOM,,"[{""movement"": ""Box Jump"", ""reps"": ""44"", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Barbell, Kettlebell, Rower, Pull-up Bar"", ""skill_level"": ""Intermediate""}, {""movement"": ""Deadlift"", ""reps"": ""18"", ""type"": ""Weightlifting"", ""pattern"": ""Hinge"", ""equipment"": ""Barbell"", ""skill_level"": ""Intermediate""}]",4,Moderate,"{""RX_rounds"": 15, ""Intermediate_rounds"": 12, ""Beginner_rounds"": 7, ""Minutes"": 12}",,"5-10 min general cardio (row/jog/bike); Hip hinge mobility: kettlebell deadlift warm-up, Romanian deadlift 3x8",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint. Maintain neutral spine; use mixed grip for heavy sets if needed.,"{""Beginner"": ""22 Box Jumps, 9 Deadlifts - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""44 Box Jumps, 18 Deadlifts - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""44 Box Jumps, 18 Deadlifts - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""44 Box Jumps, 18 Deadlifts - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Inferno-1 workout demo 44 Box Jumps"", ""CF Library Search"": ""Inferno-1 workout demo 44 Box Jumps CrossFit movement demo""}","Gymnastics Skill, Power/Speed",Full Gym,Inferno-1 - Expect sharp efforts and quick transitions; small mistakes add up.
Grinder-2,Custom,For Time (10-15 minutes),"47 Kettlebell Swings, 49 Running","Barbell, Kettlebell, Rower, Pull-up Bar",Full Body,"Conditioning, Stamina",,,Medium,,"Monostructural, Weightlifting",Simple,,Bodyweight or unspecified,Time,,,,Mixed,,2,Weightlifting,3,Hinge,For Time - High Intensity Pacing,Standard,,"[{""movement"": ""Kettlebell Swing"", ""reps"": ""47"", ""type"": ""Weightlifting"", ""pattern"": ""Hinge"", ""equipment"": ""Kettlebell"", ""skill_level"": ""Intermediate""}, {""movement"": ""Run"", ""reps"": ""49"", ""type"": ""Monostructural"", ""pattern"": ""Locomotion"", ""equipment"": ""Row/Bike/Running"", ""skill_level"": ""Beginner""}]",4,Moderate,"{""RX"": 270, ""Intermediate"": 378, ""Beginner"": 540}",4m 30s,"5-10 min general cardio (row/jog/bike); Hip hinge mobility: kettlebell deadlift warm-up, Romanian deadlift 3x8; Strides or ramped efforts for 6x20s",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint. Aim for unbroken swings if possible; hinge from the hips.,"{""Beginner"": ""23 Kettlebell Swings, 24 Running - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""47 Kettlebell Swings, 49 Running - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""47 Kettlebell Swings, 49 Running - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""47 Kettlebell Swings, 49 Running - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Grinder-2 workout demo 47 Kettlebell Swings"", ""CF Library Search"": ""Grinder-2 workout demo 47 Kettlebell Swings CrossFit movement demo""}",Lactate Threshold / Conditioning,Full Gym,Grinder-2 - Brutal but fair; pace wisely and prioritize technique.
Reactor-3,Custom,AMRAP 12,"44 Clean and Jerks, 17 Wall Balls, 28 Box Jumps","Barbell, Kettlebell, Rower, Pull-up Bar",Full Body,"Conditioning, Stamina",,,Short,,"Gymnastics, Weightlifting",Moderate,,Bodyweight or unspecified,Rounds,,,,Mixed Aerobic/Anaerobic (Sustained),,4,Weightlifting,7,"Hinge, Squat",Anaerobic/Mixed (AMRAP Intensity),Standard,,"[{""movement"": ""Clean"", ""reps"": ""44"", ""type"": ""Weightlifting"", ""pattern"": ""Hinge"", ""equipment"": ""Barbell"", ""skill_level"": ""Intermediate""}, {""movement"": ""Jerk"", ""reps"": """", ""type"": ""Weightlifting"", ""pattern"": ""General"", ""equipment"": ""Barbell"", ""skill_level"": ""Intermediate""}, {""movement"": ""Wall Ball"", ""reps"": ""17"", ""type"": ""Weightlifting"", ""pattern"": ""Squat"", ""equipment"": ""Wall Ball"", ""skill_level"": ""Intermediate""}, {""movement"": ""Box Jump"", ""reps"": ""28"", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Barbell, Kettlebell, Rower, Pull-up Bar"", ""skill_level"": ""Intermediate""}]",8,Hard,"{""RX_rounds"": 12, ""Intermediate_rounds"": 9, ""Beginner_rounds"": 6, ""Minutes"": 12}",,"5-10 min general cardio (row/jog/bike); Hip hinge mobility: kettlebell deadlift warm-up, Romanian deadlift 3x8; Air squats and goblet squats progression, ankle mobility",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint. Set a rhythm and target the top of the wall mark consistently.,"{""Beginner"": ""22 Clean and Jerks, 8 Wall Balls, 14 Box Jumps - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""44 Clean and Jerks, 17 Wall Balls, 28 Box Jumps - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""44 Clean and Jerks, 17 Wall Balls, 28 Box Jumps - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""44 Clean and Jerks, 17 Wall Balls, 28 Box Jumps - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Reactor-3 workout demo 44 Clean and Jerks"", ""CF Library Search"": ""Reactor-3 workout demo 44 Clean and Jerks CrossFit movement demo""}","Aerobic Endurance, Gymnastics Skill",Full Gym,Reactor-3 - Brutal but fair; pace wisely and prioritize technique.
Phoenix-4,Custom,For Time (10-15 minutes),"35 Handstand Push-ups, 28 Deadlifts, 31 Double-unders","Barbell, Kettlebell, Rower, Pull-up Bar",Full Body,"Conditioning, Stamina",,,Medium,,"Gymnastics, Monostructural, Weightlifting",Moderate,,Bodyweight or unspecified,Time,,,,Mixed,,3,Weightlifting,4,"Hinge, Push",For Time - High Intensity Pacing,Standard,,"[{""movement"": ""Handstand Push-Up"", ""reps"": ""35"", ""type"": ""Gymnastics"", ""pattern"": ""Push"", ""equipment"": ""None (bodyweight)"", ""skill_level"": ""Intermediate""}, {""movement"": ""Deadlift"", ""reps"": ""28"", ""type"": ""Weightlifting"", ""pattern"": ""Hinge"", ""equipment"": ""Barbell"", ""skill_level"": ""Intermediate""}, {""movement"": ""Double-Under"", ""reps"": ""31"", ""type"": ""Monostructural"", ""pattern"": ""General"", ""equipment"": ""Row/Bike/Running"", ""skill_level"": ""Beginner""}]",6,Moderate,"{""RX"": 330, ""Intermediate"": 461, ""Beginner"": 660}",5m 30s,"5-10 min general cardio (row/jog/bike); Hip hinge mobility: kettlebell deadlift warm-up, Romanian deadlift 3x8; Shoulder activation: band pull-aparts, push-up progressions",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint. Maintain neutral spine; use mixed grip for heavy sets if needed.,"{""Beginner"": ""17 Handstand Push-ups, 14 Deadlifts, 15 Double-unders - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""35 Handstand Push-ups, 28 Deadlifts, 31 Double-unders - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""35 Handstand Push-ups, 28 Deadlifts, 31 Double-unders - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""35 Handstand Push-ups, 28 Deadlifts, 31 Double-unders - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Phoenix-4 workout demo 35 Handstand Push-ups"", ""CF Library Search"": ""Phoenix-4 workout demo 35 Handstand Push-ups CrossFit movement demo""}","Gymnastics Skill, Lactate Threshold / Conditioning",Full Gym,Phoenix-4 - Expect sharp efforts and quick transitions; small mistakes add up.
Havoc-5,Custom,AMRAP 18,"20 Wall Balls, 21 Running","Barbell, Kettlebell, Rower, Pull-up Bar",Full Body,"Conditioning, Stamina",,,Medium,,"Monostructural, Weightlifting",Simple,,Bodyweight or unspecified,Rounds,,,,Mixed Aerobic/Anaerobic (Sustained),,2,Weightlifting,5,Squat,Aerobic/Mixed (Long AMRAP),Standard,,"[{""movement"": ""Wall Ball"", ""reps"": ""20"", ""type"": ""Weightlifting"", ""pattern"": ""Squat"", ""equipment"": ""Wall Ball"", ""skill_level"": ""Intermediate""}, {""movement"": ""Run"", ""reps"": ""21"", ""type"": ""Monostructural"", ""pattern"": ""Locomotion"", ""equipment"": ""Row/Bike/Running"", ""skill_level"": ""Beginner""}]",5,Moderate,"{""RX_rounds"": 21, ""Intermediate_rounds"": 16, ""Beginner_rounds"": 10, ""Minutes"": 18}",,"5-10 min general cardio (row/jog/bike); Air squats and goblet squats progression, ankle mobility; Strides or ramped efforts for 6x20s",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint. Set a rhythm and target the top of the wall mark consistently.,"{""Beginner"": ""10 Wall Balls, 10 Running - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""20 Wall Balls, 21 Running - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""20 Wall Balls, 21 Running - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""20 Wall Balls, 21 Running - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Havoc-5 workout demo 20 Wall Balls"", ""CF Library Search"": ""Havoc-5 workout demo 20 Wall Balls CrossFit movement demo""}",Aerobic Endurance,Full Gym,Havoc-5 - Brutal but fair; pace wisely and prioritize technique.
Reactor-6,Custom,EMOM 10,"22 Wall Balls, 11 Clean and Jerks, 40 Box Jumps, 17 Kettlebell Swings","Barbell, Kettlebell, Rower, Pull-up Bar",Full Body,"Conditioning, Stamina",,,Mixed,,"Gymnastics, Weightlifting",Complex,,Bodyweight or unspecified,Rounds/Load,,,,Mixed,,5,Weightlifting,6,"Hinge, Squat",Interval Power / Strength-Endurance,EMOM,,"[{""movement"": ""Wall Ball"", ""reps"": ""22"", ""type"": ""Weightlifting"", ""pattern"": ""Squat"", ""equipment"": ""Wall Ball"", ""skill_level"": ""Intermediate""}, {""movement"": ""Clean"", ""reps"": ""11"", ""type"": ""Weightlifting"", ""pattern"": ""Hinge"", ""equipment"": ""Barbell"", ""skill_level"": ""Intermediate""}, {""movement"": ""Jerk"", ""reps"": """", ""type"": ""Weightlifting"", ""pattern"": ""General"", ""equipment"": ""Barbell"", ""skill_level"": ""Intermediate""}, {""movement"": ""Box Jump"", ""reps"": ""40"", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Barbell, Kettlebell, Rower, Pull-up Bar"", ""skill_level"": ""Intermediate""}, {""movement"": ""Kettlebell Swing"", ""reps"": ""17"", ""type"": ""Weightlifting"", ""pattern"": ""Hinge"", ""equipment"": ""Kettlebell"", ""skill_level"": ""Intermediate""}]",7,Hard,"{""RX_rounds"": 13, ""Intermediate_rounds"": 10, ""Beginner_rounds"": 6, ""Minutes"": 12}",,"5-10 min general cardio (row/jog/bike); Hip hinge mobility: kettlebell deadlift warm-up, Romanian deadlift 3x8; Air squats and goblet squats progression, ankle mobility",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint. Set a rhythm and target the top of the wall mark consistently.,"{""Beginner"": ""11 Wall Balls, 5 Clean and Jerks, 20 Box Jumps, 8 Kettlebell Swings - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""22 Wall Balls, 11 Clean and Jerks, 40 Box Jumps, 17 Kettlebell Swings - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""22 Wall Balls, 11 Clean and Jerks, 40 Box Jumps, 17 Kettlebell Swings - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""22 Wall Balls, 11 Clean and Jerks, 40 Box Jumps, 17 Kettlebell Swings - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Reactor-6 workout demo 22 Wall Balls"", ""CF Library Search"": ""Reactor-6 workout demo 22 Wall Balls CrossFit movement demo""}","Gymnastics Skill, Power/Speed",Full Gym,Reactor-6 - Expect sharp efforts and quick transitions; small mistakes add up.
Voltage-7,Custom,5 Rounds For Time,"38 Rowing, 18 Thrusters","Barbell, Kettlebell, Rower, Pull-up Bar",Full Body,"Conditioning, Stamina",,,Medium,,"Monostructural, Weightlifting",Simple,,Bodyweight or unspecified,Time,,,,Mixed,,2,Weightlifting,3,"Pull, Push, Squat",For Time - High Intensity Pacing,Standard,,"[{""movement"": ""Row"", ""reps"": ""38"", ""type"": ""Monostructural"", ""pattern"": ""General"", ""equipment"": ""Pull-up Bar, Row/Bike/Running"", ""skill_level"": ""Beginner""}, {""movement"": ""Thruster"", ""reps"": ""18"", ""type"": ""Weightlifting"", ""pattern"": ""Squat"", ""equipment"": ""Barbell"", ""skill_level"": ""Intermediate""}]",4,Moderate,"{""RX"": 270, ""Intermediate"": 378, ""Beginner"": 540}",4m 30s,"5-10 min general cardio (row/jog/bike); Air squats and goblet squats progression, ankle mobility",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint. Break thrusters into manageable sets; keep front rack tight.,"{""Beginner"": ""19 Rowing, 9 Thrusters - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""38 Rowing, 18 Thrusters - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""38 Rowing, 18 Thrusters - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""38 Rowing, 18 Thrusters - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Voltage-7 workout demo 38 Rowing"", ""CF Library Search"": ""Voltage-7 workout demo 38 Rowing CrossFit movement demo""}",Lactate Threshold / Conditioning,Full Gym,Voltage-7 - Brutal but fair; pace wisely and prioritize technique.
IronWolf-8,Custom,For Time (10-15 minutes),"14 Box Jumps, 15 Rowing","Barbell, Kettlebell, Rower, Pull-up Bar",Full Body,"Conditioning, Stamina",,,Medium,,"Gymnastics, Monostructural",Simple,,Bodyweight or unspecified,Time,,,,Mixed,,2,Gymnastics,3,Pull,For Time - High Intensity Pacing,Standard,,"[{""movement"": ""Box Jump"", ""reps"": ""14"", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Barbell, Kettlebell, Rower, Pull-up Bar"", ""skill_level"": ""Intermediate""}, {""movement"": ""Row"", ""reps"": ""15"", ""type"": ""Monostructural"", ""pattern"": ""General"", ""equipment"": ""Pull-up Bar, Row/Bike/Running"", ""skill_level"": ""Beginner""}]",3,Easy,"{""RX"": 240, ""Intermediate"": 336, ""Beginner"": 480}",4m 0s,5-10 min general cardio (row/jog/bike),Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint.,"{""Beginner"": ""7 Box Jumps, 7 Rowing - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""14 Box Jumps, 15 Rowing - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""14 Box Jumps, 15 Rowing - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""14 Box Jumps, 15 Rowing - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""IronWolf-8 workout demo 14 Box Jumps"", ""CF Library Search"": ""IronWolf-8 workout demo 14 Box Jumps CrossFit movement demo""}","Gymnastics Skill, Lactate Threshold / Conditioning",Full Gym,IronWolf-8 - Expect sharp efforts and quick transitions; small mistakes add up.
