Name,Category,Format & Duration,Instructions,Equipment Needed,Muscle Groups,Training Goals,Time Domain,Scaling Options,Movement Types,Workout Complexity,Target Stimulus,RX Standards,Score Type,Level,Environment,Equipment Alternatives,Energy System,Coach Notes,Movement Count,Primary Category,Difficulty Score,Movement Patterns,Stimulus,Structure Type,Description,Movement-Level-Metadata,Difficulty-Score-Computed,Difficulty-Label,Estimated-Times,Estimated-Times-Human,Warmup,Coaching-Cues,Scaling-Tiers,Demo-Search-Queries,Training-Adaptation-Tags,Equipment-Footprint,Flavor-Text,Instruction_Valid,WorkoutID,DifficultyTier,Instructions_Clean
Thunderbolt-107,Custom,For Time (10-15 minutes),"26 double-unders, 44 burpees","Barbell, Kettlebell, Rower, Pull-up Bar",Full Body,"Conditioning, Stamina",Unknown,Standard scaling recommended,"Gymnastics, Monostructural",Simple,General,Bodyweight or unspecified,Time,Nan,Gym,Substitute with available equipment,Mixed,No additional notes,2,Gymnastics,3,General,For Time - High Intensity Pacing,Standard,No description available,"[{""movement"": ""Double-Under"", ""reps"": ""26"", ""type"": ""Monostructural"", ""pattern"": ""General"", ""equipment"": ""Row/Bike/Running"", ""skill_level"": ""Beginner""}, {""movement"": ""Burpee"", ""reps"": ""44"", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Barbell, Kettlebell, Rower, Pull-up Bar"", ""skill_level"": ""Intermediate""}]",3,Easy,"{""RX"": 240, ""Intermediate"": 336, ""Beginner"": 480}",4m 0s,5-10 min general cardio (row/jog/bike),Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint.,"{""Beginner"": ""13 Double-unders, 22 Burpees - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""26 Double-unders, 44 Burpees - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""26 Double-unders, 44 Burpees - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""26 Double-unders, 44 Burpees - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Thunderbolt-107 workout demo 26 Double-unders"", ""CF Library Search"": ""Thunderbolt-107 workout demo 26 Double-unders CrossFit movement demo""}","Gymnastics Skill, Lactate Threshold / Conditioning",Full Gym,Thunderbolt-107 - Expect sharp efforts and quick transitions; small mistakes add up.,OK,464,Beginner,"26 double-unders, 44 burpees"
Cyclone-108,Custom,For Time (10-15 minutes),"24 burpees, 18 deadlifts, 31 rowing","Barbell, Kettlebell, Rower, Pull-up Bar",Full Body,"Conditioning, Stamina",Unknown,Standard scaling recommended,"Gymnastics, Monostructural, Weightlifting",Moderate,General,Bodyweight or unspecified,Time,Nan,Gym,Substitute with available equipment,Mixed,No additional notes,3,Weightlifting,4,"Hinge, Pull",For Time - High Intensity Pacing,Standard,No description available,"[{""movement"": ""Burpee"", ""reps"": ""24"", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Barbell, Kettlebell, Rower, Pull-up Bar"", ""skill_level"": ""Intermediate""}, {""movement"": ""Deadlift"", ""reps"": ""18"", ""type"": ""Weightlifting"", ""pattern"": ""Hinge"", ""equipment"": ""Barbell"", ""skill_level"": ""Intermediate""}, {""movement"": ""Row"", ""reps"": ""31"", ""type"": ""Monostructural"", ""pattern"": ""General"", ""equipment"": ""Pull-up Bar, Row/Bike/Running"", ""skill_level"": ""Beginner""}]",5,Moderate,"{""RX"": 300, ""Intermediate"": 420, ""Beginner"": 600}",5m 0s,"5-10 min general cardio (row/jog/bike); Hip hinge mobility: kettlebell deadlift warm-up, Romanian deadlift 3x8",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint. Maintain neutral spine; use mixed grip for heavy sets if needed.,"{""Beginner"": ""12 Burpees, 9 Deadlifts, 15 Rowing - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""24 Burpees, 18 Deadlifts, 31 Rowing - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""24 Burpees, 18 Deadlifts, 31 Rowing - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""24 Burpees, 18 Deadlifts, 31 Rowing - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Cyclone-108 workout demo 24 Burpees"", ""CF Library Search"": ""Cyclone-108 workout demo 24 Burpees CrossFit movement demo""}","Gymnastics Skill, Lactate Threshold / Conditioning",Full Gym,Cyclone-108 - Expect sharp efforts and quick transitions; small mistakes add up.,OK,465,Intermediate,"24 burpees, 18 deadlifts, 31 rowing"
Inferno-109,Custom,AMRAP 12,"32 burpees, 25 box jumps, 47 double-unders","Barbell, Kettlebell, Rower, Pull-up Bar",Full Body,"Conditioning, Stamina",Unknown,Standard scaling recommended,"Gymnastics, Monostructural",Moderate,General,Bodyweight or unspecified,Rounds,Nan,Gym,Substitute with available equipment,Mixed Aerobic/Anaerobic (Sustained),No additional notes,3,Gymnastics,6,General,Anaerobic/Mixed (AMRAP Intensity),Standard,No description available,"[{""movement"": ""Burpee"", ""reps"": ""32"", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Barbell, Kettlebell, Rower, Pull-up Bar"", ""skill_level"": ""Intermediate""}, {""movement"": ""Box Jump"", ""reps"": ""25"", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Barbell, Kettlebell, Rower, Pull-up Bar"", ""skill_level"": ""Intermediate""}, {""movement"": ""Double-Under"", ""reps"": ""47"", ""type"": ""Monostructural"", ""pattern"": ""General"", ""equipment"": ""Row/Bike/Running"", ""skill_level"": ""Beginner""}]",6,Moderate,"{""RX_rounds"": 13, ""Intermediate_rounds"": 10, ""Beginner_rounds"": 6, ""Minutes"": 12}",5m 30s,5-10 min general cardio (row/jog/bike),Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint.,"{""Beginner"": ""16 Burpees, 12 Box Jumps, 23 Double-unders - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""32 Burpees, 25 Box Jumps, 47 Double-unders - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""32 Burpees, 25 Box Jumps, 47 Double-unders - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""32 Burpees, 25 Box Jumps, 47 Double-unders - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Inferno-109 workout demo 32 Burpees"", ""CF Library Search"": ""Inferno-109 workout demo 32 Burpees CrossFit movement demo""}","Aerobic Endurance, Gymnastics Skill",Full Gym,Inferno-109 - Brutal but fair; pace wisely and prioritize technique.,OK,466,Intermediate,"32 burpees, 25 box jumps, 47 double-unders"
Grinder-110,Custom,3 Rounds For Time,"47 wall balls, 22 deadlifts for time","Barbell, Kettlebell, Rower, Pull-up Bar",Full Body,"Conditioning, Stamina",Unknown,Standard scaling recommended,Weightlifting,Simple,General,Bodyweight or unspecified,Time,Nan,Gym,Substitute with available equipment,Mixed,No additional notes,2,Weightlifting,3,"Hinge, Squat",For Time - High Intensity Pacing,Standard,No description available,"[{""movement"": ""Wall Ball"", ""reps"": ""47"", ""type"": ""Weightlifting"", ""pattern"": ""Squat"", ""equipment"": ""Wall Ball"", ""skill_level"": ""Intermediate""}, {""movement"": ""Deadlift"", ""reps"": ""22"", ""type"": ""Weightlifting"", ""pattern"": ""Hinge"", ""equipment"": ""Barbell"", ""skill_level"": ""Intermediate""}]",4,Moderate,"{""RX"": 270, ""Intermediate"": 378, ""Beginner"": 540}",4m 30s,"5-10 min general cardio (row/jog/bike); Hip hinge mobility: kettlebell deadlift warm-up, Romanian deadlift 3x8; Air squats and goblet squats progression, ankle mobility",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint. Set a rhythm and target the top of the wall mark consistently. Maintain neutral spine; use mixed grip for heavy sets if needed.,"{""Beginner"": ""23 Wall Balls, 11 Deadlifts - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""47 Wall Balls, 22 Deadlifts - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""47 Wall Balls, 22 Deadlifts - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""47 Wall Balls, 22 Deadlifts - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Grinder-110 workout demo 47 Wall Balls"", ""CF Library Search"": ""Grinder-110 workout demo 47 Wall Balls CrossFit movement demo""}",Lactate Threshold / Conditioning,Full Gym,Grinder-110 - A for time - high intensity pacing challenge that demands focus and grit.,CHECK,467,Intermediate,"47 wall balls, 22 deadlifts complete the following for time"
Phoenix-111,Custom,For Time,"17 box jumps, 16 wall balls, 28 handstand Push-ups, 34 snatches","Barbell, Kettlebell, Rower, Pull-up Bar",Full Body,"Conditioning, Stamina",Unknown,Standard scaling recommended,"Gymnastics, Weightlifting",Moderate,General,Bodyweight or unspecified,Time,Nan,Gym,Substitute with available equipment,Mixed,No additional notes,4,Weightlifting,5,"Hinge, Push, Squat",For Time - High Intensity Pacing,Standard,No description available,"[{""movement"": ""Box Jump"", ""reps"": ""17"", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Barbell, Kettlebell, Rower, Pull-up Bar"", ""skill_level"": ""Intermediate""}, {""movement"": ""Wall Ball"", ""reps"": ""16"", ""type"": ""Weightlifting"", ""pattern"": ""Squat"", ""equipment"": ""Wall Ball"", ""skill_level"": ""Intermediate""}, {""movement"": ""Handstand Push-Up"", ""reps"": ""28"", ""type"": ""Gymnastics"", ""pattern"": ""Push"", ""equipment"": ""None (bodyweight)"", ""skill_level"": ""Intermediate""}, {""movement"": ""Snatch"", ""reps"": ""34"", ""type"": ""Weightlifting"", ""pattern"": ""Hinge"", ""equipment"": ""Barbell"", ""skill_level"": ""Intermediate""}]",7,Hard,"{""RX"": 360, ""Intermediate"": 503, ""Beginner"": 720}",6m 0s,"5-10 min general cardio (row/jog/bike); Hip hinge mobility: kettlebell deadlift warm-up, Romanian deadlift 3x8; Air squats and goblet squats progression, ankle mobility; Shoulder activation: band pull-aparts, push-up progressions",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint. Set a rhythm and target the top of the wall mark consistently.,"{""Beginner"": ""8 Box Jumps, 8 Wall Balls, 14 Handstand Push-ups, 17 Snatches - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""17 Box Jumps, 16 Wall Balls, 28 Handstand Push-ups, 34 Snatches - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""17 Box Jumps, 16 Wall Balls, 28 Handstand Push-ups, 34 Snatches - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""17 Box Jumps, 16 Wall Balls, 28 Handstand Push-ups, 34 Snatches - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Phoenix-111 workout demo 17 Box Jumps"", ""CF Library Search"": ""Phoenix-111 workout demo 17 Box Jumps CrossFit movement demo""}","Gymnastics Skill, Lactate Threshold / Conditioning",Full Gym,Phoenix-111 - A for time - high intensity pacing challenge that demands focus and grit.,OK,468,Advanced,"17 box jumps, 16 wall balls, 28 handstand push-ups, 34 snatches"
Stormbreaker-112,Custom,AMRAP 18,"42 thrusters, 22 wall balls, 15 double-unders","Barbell, Kettlebell, Rower, Pull-up Bar",Full Body,"Conditioning, Stamina",Unknown,Standard scaling recommended,"Monostructural, Weightlifting",Moderate,General,Bodyweight or unspecified,Rounds,Nan,Gym,Substitute with available equipment,Mixed Aerobic/Anaerobic (Sustained),No additional notes,3,Weightlifting,6,"Push, Squat",Aerobic/Mixed (Long AMRAP),Standard,No description available,"[{""movement"": ""Thruster"", ""reps"": ""42"", ""type"": ""Weightlifting"", ""pattern"": ""Squat"", ""equipment"": ""Barbell"", ""skill_level"": ""Intermediate""}, {""movement"": ""Wall Ball"", ""reps"": ""22"", ""type"": ""Weightlifting"", ""pattern"": ""Squat"", ""equipment"": ""Wall Ball"", ""skill_level"": ""Intermediate""}, {""movement"": ""Double-Under"", ""reps"": ""15"", ""type"": ""Monostructural"", ""pattern"": ""General"", ""equipment"": ""Row/Bike/Running"", ""skill_level"": ""Beginner""}]",7,Hard,"{""RX_rounds"": 19, ""Intermediate_rounds"": 15, ""Beginner_rounds"": 9, ""Minutes"": 18}",5m 30s,"5-10 min general cardio (row/jog/bike); Air squats and goblet squats progression, ankle mobility",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint. Break thrusters into manageable sets; keep front rack tight. Set a rhythm and target the top of the wall mark consistently.,"{""Beginner"": ""21 Thrusters, 11 Wall Balls, 7 Double-unders - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""42 Thrusters, 22 Wall Balls, 15 Double-unders - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""42 Thrusters, 22 Wall Balls, 15 Double-unders - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""42 Thrusters, 22 Wall Balls, 15 Double-unders - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Stormbreaker-112 workout demo 42 Thrusters"", ""CF Library Search"": ""Stormbreaker-112 workout demo 42 Thrusters CrossFit movement demo""}",Aerobic Endurance,Full Gym,Stormbreaker-112 - Brutal but fair; pace wisely and prioritize technique.,OK,469,Advanced,"42 thrusters, 22 wall balls, 15 double-unders"
Inferno-113,Custom,For Time,"17 Kettlebell swings, 39 bike erg, 21 box jumps","Barbell, Kettlebell, Rower, Pull-up Bar",Full Body,"Conditioning, Stamina",Unknown,Standard scaling recommended,"Gymnastics, Monostructural, Weightlifting",Moderate,General,Bodyweight or unspecified,Time,Nan,Gym,Substitute with available equipment,Mixed,No additional notes,3,Weightlifting,4,Hinge,For Time - High Intensity Pacing,Standard,No description available,"[{""movement"": ""Kettlebell Swing"", ""reps"": ""17"", ""type"": ""Weightlifting"", ""pattern"": ""Hinge"", ""equipment"": ""Kettlebell"", ""skill_level"": ""Intermediate""}, {""movement"": ""Bike Erg"", ""reps"": ""39"", ""type"": ""Monostructural"", ""pattern"": ""General"", ""equipment"": ""Row/Bike/Running"", ""skill_level"": ""Beginner""}, {""movement"": ""Box Jump"", ""reps"": ""21"", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Barbell, Kettlebell, Rower, Pull-up Bar"", ""skill_level"": ""Intermediate""}]",5,Moderate,"{""RX"": 300, ""Intermediate"": 420, ""Beginner"": 600}",5m 0s,"5-10 min general cardio (row/jog/bike); Hip hinge mobility: kettlebell deadlift warm-up, Romanian deadlift 3x8",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint. Aim for unbroken swings if possible; hinge from the hips.,"{""Beginner"": ""8 Kettlebell Swings, 19 Bike Erg, 10 Box Jumps - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""17 Kettlebell Swings, 39 Bike Erg, 21 Box Jumps - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""17 Kettlebell Swings, 39 Bike Erg, 21 Box Jumps - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""17 Kettlebell Swings, 39 Bike Erg, 21 Box Jumps - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Inferno-113 workout demo 17 Kettlebell Swings"", ""CF Library Search"": ""Inferno-113 workout demo 17 Kettlebell Swings CrossFit movement demo""}","Gymnastics Skill, Lactate Threshold / Conditioning",Full Gym,Inferno-113 - A for time - high intensity pacing challenge that demands focus and grit.,OK,470,Intermediate,"17 kettlebell swings, 39 bike erg, 21 box jumps"
Voltage-114,Custom,3 Rounds For Time,"23 deadlifts, 50 wall balls, 14 rowing","Barbell, Kettlebell, Rower, Pull-up Bar",Full Body,"Conditioning, Stamina",Unknown,Standard scaling recommended,"Monostructural, Weightlifting",Moderate,General,Bodyweight or unspecified,Time,Nan,Gym,Substitute with available equipment,Mixed,No additional notes,3,Weightlifting,4,"Hinge, Pull, Squat",For Time - High Intensity Pacing,Standard,No description available,"[{""movement"": ""Deadlift"", ""reps"": ""23"", ""type"": ""Weightlifting"", ""pattern"": ""Hinge"", ""equipment"": ""Barbell"", ""skill_level"": ""Intermediate""}, {""movement"": ""Wall Ball"", ""reps"": ""50"", ""type"": ""Weightlifting"", ""pattern"": ""Squat"", ""equipment"": ""Wall Ball"", ""skill_level"": ""Intermediate""}, {""movement"": ""Row"", ""reps"": ""14"", ""type"": ""Monostructural"", ""pattern"": ""General"", ""equipment"": ""Pull-up Bar, Row/Bike/Running"", ""skill_level"": ""Beginner""}]",5,Moderate,"{""RX"": 300, ""Intermediate"": 420, ""Beginner"": 600}",5m 0s,"5-10 min general cardio (row/jog/bike); Hip hinge mobility: kettlebell deadlift warm-up, Romanian deadlift 3x8; Air squats and goblet squats progression, ankle mobility",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint. Maintain neutral spine; use mixed grip for heavy sets if needed. Set a rhythm and target the top of the wall mark consistently.,"{""Beginner"": ""11 Deadlifts, 25 Wall Balls, 7 Rowing - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""23 Deadlifts, 50 Wall Balls, 14 Rowing - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""23 Deadlifts, 50 Wall Balls, 14 Rowing - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""23 Deadlifts, 50 Wall Balls, 14 Rowing - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Voltage-114 workout demo 23 Deadlifts"", ""CF Library Search"": ""Voltage-114 workout demo 23 Deadlifts CrossFit movement demo""}",Lactate Threshold / Conditioning,Full Gym,Voltage-114 - A for time - high intensity pacing challenge that demands focus and grit.,OK,471,Intermediate,"23 deadlifts, 50 wall balls, 14 rowing"
Nitro-115,Custom,5 Rounds For Time,"42 Pull-ups, 32 burpees, 27 deadlifts, 22 box jumps","Barbell, Kettlebell, Rower, Pull-up Bar",Full Body,"Conditioning, Stamina",Unknown,Standard scaling recommended,"Gymnastics, Weightlifting",Moderate,General,Bodyweight or unspecified,Time,Nan,Gym,Substitute with available equipment,Mixed,No additional notes,4,Weightlifting,5,"Hinge, Pull",For Time - High Intensity Pacing,Standard,No description available,"[{""movement"": ""Pull-Up"", ""reps"": ""42"", ""type"": ""Gymnastics"", ""pattern"": ""Pull"", ""equipment"": ""Pull-up Bar"", ""skill_level"": ""Intermediate""}, {""movement"": ""Burpee"", ""reps"": ""32"", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Barbell, Kettlebell, Rower, Pull-up Bar"", ""skill_level"": ""Intermediate""}, {""movement"": ""Deadlift"", ""reps"": ""27"", ""type"": ""Weightlifting"", ""pattern"": ""Hinge"", ""equipment"": ""Barbell"", ""skill_level"": ""Intermediate""}, {""movement"": ""Box Jump"", ""reps"": ""22"", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Barbell, Kettlebell, Rower, Pull-up Bar"", ""skill_level"": ""Intermediate""}]",6,Moderate,"{""RX"": 330, ""Intermediate"": 461, ""Beginner"": 660}",5m 30s,"5-10 min general cardio (row/jog/bike); Hip hinge mobility: kettlebell deadlift warm-up, Romanian deadlift 3x8; Scapular pull-ups, ring rows or banded pull-ups",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint. Use kip efficiently; consider banded pull-ups to keep turnover high. Maintain neutral spine; use mixed grip for heavy sets if needed.,"{""Beginner"": ""21 Pull-ups, 16 Burpees, 13 Deadlifts, 11 Box Jumps - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""42 Pull-ups, 32 Burpees, 27 Deadlifts, 22 Box Jumps - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""42 Pull-ups, 32 Burpees, 27 Deadlifts, 22 Box Jumps - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""42 Pull-ups, 32 Burpees, 27 Deadlifts, 22 Box Jumps - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Nitro-115 workout demo 42 Pull-ups"", ""CF Library Search"": ""Nitro-115 workout demo 42 Pull-ups CrossFit movement demo""}","Gymnastics Skill, Lactate Threshold / Conditioning",Full Gym,Nitro-115 - Brutal but fair; pace wisely and prioritize technique.,OK,472,Intermediate,"42 pull-ups, 32 burpees, 27 deadlifts, 22 box jumps"
Stormbreaker-116,Custom,5 Rounds For Time,"31 clean and jerks, 33 wall balls, 16 running, 44 burpees","Barbell, Kettlebell, Rower, Pull-up Bar",Full Body,"Conditioning, Stamina",Unknown,Standard scaling recommended,"Gymnastics, Monostructural, Weightlifting",Complex,General,Bodyweight or unspecified,Time,Nan,Gym,Substitute with available equipment,Mixed,No additional notes,5,Weightlifting,6,"Hinge, Squat",For Time - High Intensity Pacing,Standard,No description available,"[{""movement"": ""Clean"", ""reps"": ""31"", ""type"": ""Weightlifting"", ""pattern"": ""Hinge"", ""equipment"": ""Barbell"", ""skill_level"": ""Intermediate""}, {""movement"": ""Jerk"", ""reps"": """", ""type"": ""Weightlifting"", ""pattern"": ""General"", ""equipment"": ""Barbell"", ""skill_level"": ""Intermediate""}, {""movement"": ""Wall Ball"", ""reps"": ""33"", ""type"": ""Weightlifting"", ""pattern"": ""Squat"", ""equipment"": ""Wall Ball"", ""skill_level"": ""Intermediate""}, {""movement"": ""Run"", ""reps"": ""16"", ""type"": ""Monostructural"", ""pattern"": ""Locomotion"", ""equipment"": ""Row/Bike/Running"", ""skill_level"": ""Beginner""}, {""movement"": ""Burpee"", ""reps"": ""44"", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Barbell, Kettlebell, Rower, Pull-up Bar"", ""skill_level"": ""Intermediate""}]",7,Hard,"{""RX"": 360, ""Intermediate"": 503, ""Beginner"": 720}",6m 0s,"5-10 min general cardio (row/jog/bike); Hip hinge mobility: kettlebell deadlift warm-up, Romanian deadlift 3x8; Air squats and goblet squats progression, ankle mobility; Strides or ramped efforts for 6x20s",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint. Set a rhythm and target the top of the wall mark consistently.,"{""Beginner"": ""15 Clean and Jerks, 16 Wall Balls, 8 Running, 22 Burpees - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""31 Clean and Jerks, 33 Wall Balls, 16 Running, 44 Burpees - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""31 Clean and Jerks, 33 Wall Balls, 16 Running, 44 Burpees - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""31 Clean and Jerks, 33 Wall Balls, 16 Running, 44 Burpees - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Stormbreaker-116 workout demo 31 Clean and Jerks"", ""CF Library Search"": ""Stormbreaker-116 workout demo 31 Clean and Jerks CrossFit movement demo""}","Gymnastics Skill, Lactate Threshold / Conditioning",Full Gym,Stormbreaker-116 - Brutal but fair; pace wisely and prioritize technique.,OK,473,Advanced,"31 clean and jerks, 33 wall balls, 16 running, 44 burpees"
Jaguar-117,Custom,For Time (10-15 minutes),"23 rowing, 44 wall balls, 28 thrusters","Barbell, Kettlebell, Rower, Pull-up Bar",Full Body,"Conditioning, Stamina",Unknown,Standard scaling recommended,"Monostructural, Weightlifting",Moderate,General,Bodyweight or unspecified,Time,Nan,Gym,Substitute with available equipment,Mixed,No additional notes,3,Weightlifting,4,"Pull, Push, Squat",For Time - High Intensity Pacing,Standard,No description available,"[{""movement"": ""Row"", ""reps"": ""23"", ""type"": ""Monostructural"", ""pattern"": ""General"", ""equipment"": ""Pull-up Bar, Row/Bike/Running"", ""skill_level"": ""Beginner""}, {""movement"": ""Wall Ball"", ""reps"": ""44"", ""type"": ""Weightlifting"", ""pattern"": ""Squat"", ""equipment"": ""Wall Ball"", ""skill_level"": ""Intermediate""}, {""movement"": ""Thruster"", ""reps"": ""28"", ""type"": ""Weightlifting"", ""pattern"": ""Squat"", ""equipment"": ""Barbell"", ""skill_level"": ""Intermediate""}]",5,Moderate,"{""RX"": 300, ""Intermediate"": 420, ""Beginner"": 600}",5m 0s,"5-10 min general cardio (row/jog/bike); Air squats and goblet squats progression, ankle mobility",Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint. Set a rhythm and target the top of the wall mark consistently. Break thrusters into manageable sets; keep front rack tight.,"{""Beginner"": ""11 Rowing, 22 Wall Balls, 14 Thrusters - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""23 Rowing, 44 Wall Balls, 28 Thrusters - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""23 Rowing, 44 Wall Balls, 28 Thrusters - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""23 Rowing, 44 Wall Balls, 28 Thrusters - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Jaguar-117 workout demo 23 Rowing"", ""CF Library Search"": ""Jaguar-117 workout demo 23 Rowing CrossFit movement demo""}",Lactate Threshold / Conditioning,Full Gym,Jaguar-117 - A for time - high intensity pacing challenge that demands focus and grit.,OK,474,Intermediate,"23 rowing, 44 wall balls, 28 thrusters"
Thunderbolt-118,Custom,For Time,"44 burpees, 23 box jumps, 32 double-unders","Barbell, Kettlebell, Rower, Pull-up Bar",Full Body,"Conditioning, Stamina",Unknown,Standard scaling recommended,"Gymnastics, Monostructural",Moderate,General,Bodyweight or unspecified,Time,Nan,Gym,Substitute with available equipment,Mixed,No additional notes,3,Gymnastics,4,General,For Time - High Intensity Pacing,Standard,No description available,"[{""movement"": ""Burpee"", ""reps"": ""44"", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Barbell, Kettlebell, Rower, Pull-up Bar"", ""skill_level"": ""Intermediate""}, {""movement"": ""Box Jump"", ""reps"": ""23"", ""type"": ""General"", ""pattern"": ""General"", ""equipment"": ""Barbell, Kettlebell, Rower, Pull-up Bar"", ""skill_level"": ""Intermediate""}, {""movement"": ""Double-Under"", ""reps"": ""32"", ""type"": ""Monostructural"", ""pattern"": ""General"", ""equipment"": ""Row/Bike/Running"", ""skill_level"": ""Beginner""}]",4,Moderate,"{""RX"": 270, ""Intermediate"": 378, ""Beginner"": 540}",4m 30s,5-10 min general cardio (row/jog/bike),Pace the workout according to the time domain; avoid all-out opening bursts unless short sprint.,"{""Beginner"": ""22 Burpees, 11 Box Jumps, 16 Double-unders - Beginner: lighter loads, banded/assistance, reduced volume."", ""Intermediate"": ""44 Burpees, 23 Box Jumps, 32 Double-unders - Intermediate: moderate loads, standard scaling."", ""Advanced"": ""44 Burpees, 23 Box Jumps, 32 Double-unders - Advanced: Rx or add weight/tempo."", ""Limited Equipment"": ""44 Burpees, 23 Box Jumps, 32 Double-unders - Limited equipment: substitute barbells with dumbbells/kettlebells, row with running.""}","{""YouTube Search"": ""Thunderbolt-118 workout demo 44 Burpees"", ""CF Library Search"": ""Thunderbolt-118 workout demo 44 Burpees CrossFit movement demo""}","Gymnastics Skill, Lactate Threshold / Conditioning",Full Gym,Thunderbolt-118 - Brutal but fair; pace wisely and prioritize technique.,OK,475,Intermediate,"44 burpees, 23 box jumps, 32 double-unders"
